대륙,국적,성별,D-1(문화예술),D-2(유학),D-3(기술연수),D-4(일반연수),D-5(취재),D-6(종교),D-7(주재),D-8(기업투자),D-9(무역경영),D-10(구직),E-1(교수),E-2(회화강사),E-3(연구),E-4(기술지도),E-5(전문직업),E-6(예술흥행),E-7(특정활동),E-9(비전문취업),E-10(선원취업),F-1(방문동거),F-2(거주),F-3(동반),F-5(영주),F-6(결혼이민),G-1(기타),H-1(관광취업),H-2(방문취업),기타(other)
아시아주,팔레스타인,여성,,1,,2,,,,,,1,,,,,,,,,,,2,4,1,,2,,,
아시아주,레바논,남성,,4,,,,,,2,1,1,,,1,1,,,3,,,,1,1,,4,1,,,3
아시아주,레바논,여성,,2,,1,,,,,,,,,1,,,,1,,,1,,,1,2,,,,1
아시아주,카타르,남성,,1,,1,,,1,,,,,,,,,,,,,,,1,,,3,,,7
아시아주,카타르,여성,,1,,5,,,,,,,,,,,,,,,,,,,,,10,,,
아시아주,부탄,남성,,5,,2,,1,,1,,,1,,,,,,,,,,,,,1,,,,2
아시아주,부탄,여성,,6,,4,,,,,,,,,,,,,,,,,,1,,3,,,,1
아시아주,오만,남성,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,6
아시아주,오만,여성,,5,,2,,,,,,,,,,,,,,,,,,,,,5,,,5
아시아주,바레인,남성,,1,,1,,,,,8,,,,,,,,,,,,,,,,1,,,
아시아주,바레인,여성,,4,,1,,,,,,,,,,,,,,,,,,1,,,1,,,
아시아주,키프로스,남성,,,,,,,1,,1,,,,,1,3,2,,,,,1,,1,,,,,
아시아주,키프로스,여성,,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,1
아시아주,몰디브,남성,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,
아시아주,몰디브,여성,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
북아메리카주,미국,남성,2,372,,58,5,220,191,245,198,64,472,2729,60,66,43,110,904,,,623,452,676,827,2314,10,23,,3408
북아메리카주,미국,여성,2,861,,132,,128,19,32,12,45,129,4446,5,,1,37,576,,,246,297,966,339,953,5,44,,2678
북아메리카주,캐나다,남성,,66,,9,,7,11,33,20,14,120,728,7,31,36,11,179,,,74,76,80,455,779,,9,,41
북아메리카주,캐나다,여성,,85,,24,,2,,8,,4,39,765,1,,,2,120,,,27,29,93,120,194,,13,,46
남아메리카주,브라질,남성,,84,,20,,5,1,13,5,7,2,,4,2,31,56,30,,,13,17,30,8,61,6,,,30
남아메리카주,브라질,여성,,67,,33,,4,1,,,2,6,1,,,,9,10,,,15,7,81,10,91,4,,,27
남아메리카주,멕시코,남성,,58,,18,,16,3,4,2,1,4,1,2,1,18,,46,,,5,13,4,2,46,2,,,18
남아메리카주,멕시코,여성,1,122,,29,,3,,1,1,2,1,2,1,,,2,10,,,7,11,17,5,85,1,,,18
남아메리카주,콜롬비아,남성,,25,,16,,2,,2,1,3,2,2,1,,3,3,15,,,2,8,3,1,24,3,,,53
남아메리카주,콜롬비아,여성,,42,,26,,8,,,,2,,1,,,,2,7,,,2,7,11,5,43,12,,,47
남아메리카주,페루,남성,,23,,6,,2,,,4,2,,,,,1,2,6,7,,6,2,3,5,34,6,,,31
남아메리카주,페루,여성,,49,,11,,1,,,,3,,3,,,,,4,4,,10,4,3,3,72,3,,,32
남아메리카주,에콰도르,남성,,43,,3,,,,,,,,,1,1,5,19,1,,,1,1,1,,10,3,,,18
남아메리카주,에콰도르,여성,,66,,7,,1,,,,5,,,,,,4,5,,,3,2,12,1,12,,,,14
남아메리카주,칠레,남성,,8,,,,2,1,2,,1,1,,1,,2,,6,,,,3,1,1,8,1,4,,8
남아메리카주,칠레,여성,1,30,,13,,1,,,,2,,1,,,,1,2,,,3,,8,1,20,4,23,,9
남아메리카주,베네수엘라,남성,,4,,4,,1,,1,1,,,1,,,9,1,5,,,4,3,8,,3,8,,,15
남아메리카주,베네수엘라,여성,,20,,3,,,,,,1,,2,1,,,,10,,,5,2,7,,15,7,,,15
남아메리카주,아르헨티나,남성,,4,,,,2,,,1,,,,2,,3,,4,,,8,3,1,1,10,11,3,,8
남아메리카주,아르헨티나,여성,,4,,4,,,,1,,,,,,,,3,1,,,4,2,5,3,17,,4,,8
남아메리카주,파라과이,남성,,8,,1,,1,,,,,,,,,,,1,,,4,1,,,1,,,,3
남아메리카주,파라과이,여성,,13,,7,,1,,,,,1,,,,,1,,,,2,,,3,16,1,,,3
남아메리카주,과테말라,남성,,7,,1,,,,1,,4,1,,2,,,1,1,,,4,3,1,1,,,,,4
남아메리카주,과테말라,여성,,8,,2,,,,,,,,,4,,,,,,,3,3,3,3,8,,,,3
남아메리카주,볼리비아,남성,,7,,2,,,,1,1,,,,,,4,,1,,,1,,3,,3,2,,,2
남아메리카주,볼리비아,여성,,11,,4,,,,,,,,,,,,,2,,,2,,4,1,11,1,,,1
남아메리카주,도미니카공화국,남성,,7,,2,,,,,,1,,,,,,2,4,1,,,,,,4,,,,5
남아메리카주,도미니카공화국,여성,,17,1,4,,,,,,2,,,,,,,,,,,2,1,1,3,1,,,4
남아메리카주,엘살바도르,남성,,4,,2,,,1,,1,,,,,,2,,2,,,1,,,,2,,,,4
남아메리카주,엘살바도르,여성,,16,,2,,,,,,3,,1,,,,,1,,,1,3,2,1,5,,,,3
남아메리카주,파나마,남성,,5,,2,,,,,,,,,1,,1,,,,,,1,1,,,,,,10
남아메리카주,파나마,여성,,14,,2,,,,,,1,,,,,1,,1,,,1,2,,,3,,,,10
남아메리카주,코스타리카,남성,,3,,2,,,,,,1,,,,,1,1,1,,,,1,,,4,,,,4
남아메리카주,코스타리카,여성,,5,,6,,1,,,,,,,,,,2,2,,,1,,4,,6,,,,3
남아메리카주,온두라스,남성,,2,,,,,,,,1,,,,1,,,1,1,,1,5,,,1,,,,4
남아메리카주,온두라스,여성,,8,,1,,,,,,,,,,,,,1,,,4,1,1,,7,,,,3
남아메리카주,자메이카,남성,,2,,,,,,,,,,,1,1,5,,,,,2,2,1,1,1,,,,6
남아메리카주,자메이카,여성,,6,,1,,,,,,1,1,,,,1,,3,,,1,,3,,,,,,3
남아메리카주,쿠바,남성,,1,,3,,,,,,,,,1,,,2,,,,5,,2,,6,,,,
남아메리카주,쿠바,여성,,5,,2,,,,,,,,,,,,,1,,,3,1,5,,1,,,,
남아메리카주,아이티,남성,,2,,2,,,,1,,,1,,,,,1,,,,,,,,,18,,,
남아메리카주,아이티,여성,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,
남아메리카주,니카라과,남성,,2,,1,,,,,,,,,,,,,,,,,,,,,2,,,1
남아메리카주,니카라과,여성,,6,,1,,,,,,,,,,,,,,,,1,,,,11,,,,3
남아메리카주,우루과이,남성,,4,,,,,,,,,,,,1,,,,,,,1,,,1,,,,2
남아메리카주,우루과이,여성,,6,,1,,,,,,,,,,,,,,,,1,1,,,7,,,,1
남아메리카주,트리니다드토바고,남성,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,,1
남아메리카주,트리니다드토바고,여성,,10,,2,,,,,,1,1,,,,,,,,,1,,2,,,,,,
남아메리카주,세인트크리스토퍼네비스,남성,,,,,,,,2,,,,,,,1,,,,,,3,,2,1,,,,
남아메리카주,세인트크리스토퍼네비스,여성,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
남아메리카주,바하마,여성,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
남아메리카주,벨리즈,남성,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
남아메리카주,벨리즈,여성,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
남아메리카주,도미니카연방,남성,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
남아메리카주,도미니카연방,여성,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
남아메리카주,그레나다,남성,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
남아메리카주,그레나다,여성,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
남아메리카주,수리남,여성,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
남아메리카주,바베이도스,남성,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
남아메리카주,바베이도스,여성,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
남아메리카주,앤티카바부다,남성,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
남아메리카주,세인트루시아,여성,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
남아메리카주,가이아나,남성,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
유럽주,러시아(연방),남성,,107,,61,2,7,32,83,33,3,24,6,59,2,48,22,88,11,,1954,108,149,161,80,2452,,,185
유럽주,러시아(연방),여성,,454,,336,,3,3,15,4,29,22,45,6,,,52,66,14,,2402,191,329,498,999,1477,,,164
유럽주,영국,남성,,82,,12,5,4,24,74,177,14,91,850,17,16,19,31,254,,,20,73,120,182,756,,24,,52
유럽주,영국,여성,1,158,,18,2,2,3,2,3,5,21,710,2,,,6,123,,,10,27,177,24,112,1,40,,40
유럽주,프랑스,남성,1,490,,43,1,6,20,171,109,13,35,11,26,2,5,15,189,,,7,56,185,107,349,,140,,48
유럽주,프랑스,여성,,542,,116,,7,2,26,6,15,14,25,4,,1,20,95,,,4,23,285,23,108,,301,,49
유럽주,우크라이나,남성,,32,,4,,2,5,4,5,4,3,,17,,2,78,31,4,,357,15,20,21,14,32,,953,23
유럽주,우크라이나,여성,1,69,,25,,1,1,1,1,5,1,1,2,,,94,6,,2,392,17,54,30,116,41,,699,28
유럽주,독일,남성,1,293,,11,3,9,27,166,21,1,65,10,26,7,13,11,113,,,19,27,89,104,168,,35,,46
유럽주,독일,여성,,414,,46,3,4,6,9,,7,11,8,1,,,6,43,,,7,25,194,35,51,,124,,46
유럽주,한국계러시아인,남성,,3,,,,,,,,,,,,,,,1,,,435,11,1,130,10,,,8,
유럽주,한국계러시아인,여성,,3,,7,,,,,,,,,,,,,2,,,448,10,1,205,79,1,,4,1
유럽주,이탈리아,남성,,60,,17,,8,22,35,58,3,16,2,9,,20,14,37,,,2,12,28,17,86,,17,,33
유럽주,이탈리아,여성,,104,,31,,5,,2,7,4,1,,2,,,2,16,,,2,11,73,11,28,,37,,29
유럽주,스페인,남성,1,89,,10,1,9,4,20,18,2,8,8,2,1,9,12,28,,,5,9,25,5,71,,10,,33
유럽주,스페인,여성,,118,,20,,2,,1,1,4,7,10,,,,4,12,,,,6,42,5,41,,37,,18
유럽주,네덜란드,남성,,133,,6,,,1,74,8,,9,,1,2,12,6,29,,,5,10,19,13,53,1,11,,15
유럽주,네덜란드,여성,,114,,12,,1,1,2,,1,,,,,,3,7,,,,1,37,2,14,,22,,10
유럽주,아일랜드,남성,,11,,2,,12,1,9,10,4,20,151,2,1,4,1,28,,,,10,12,30,107,,6,,4
유럽주,아일랜드,여성,,8,,1,,,2,,,,5,96,,,,1,7,,,1,1,16,9,14,,6,,6
유럽주,스웨덴,남성,,69,,14,,1,2,26,3,1,6,,,,2,4,13,,,2,7,16,6,34,,16,,3
유럽주,스웨덴,여성,,68,,65,,,,3,1,,,,,,,4,2,,,3,2,28,4,19,,16,,10
유럽주,폴란드,남성,,22,,1,,12,1,14,9,2,4,,8,,2,3,6,,,1,5,9,6,25,,1,,5
유럽주,폴란드,여성,,74,,15,,7,1,2,,2,1,,5,,,2,5,,,,8,19,9,51,1,28,,7
유럽주,벨기에,남성,,38,,4,,1,3,23,9,1,10,,3,1,11,2,18,,,1,4,13,8,27,1,7,,16
유럽주,벨기에,여성,,34,,11,,1,,,2,1,3,,2,,,2,6,,,1,1,28,3,9,,24,,11
유럽주,노르웨이,남성,,28,,4,,,3,15,45,,2,,1,,,1,1,,,3,3,11,3,21,,,,6
